length (m),F_geo,V_trn,I_trn,V_out,I_out,E_pon,E_poff,E_crit,_IR_cips,IR_cips,A_scan,R_gb,R_t2m,R_t3m,D_dcvg,D_olre,F_type,F_id,D_clas,D_len,D_erf,D_dept,SRF_loc,N_ocd,S_srb,T_opr,C_pipe,Y_pipe,S_CR,Decision
"125,752",No Feature,100,100,16.50,8.50,1330,1189,,100,141,3.66,100,19423.176,17016.332,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,753",No Feature,100,100,16.50,8.50,1309,1168,,101,141,3.66,100,19400.568,17046.476,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,754",No Feature,100,100,16.50,8.50,1333,1188,,99,145,3.66,100,19377.96,17076.62,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,755",No Feature,100,100,16.50,8.50,1348,1197,,95,151,2.99,100,19355.352,17106.764,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,756",No Feature,100,100,16.50,8.50,1349,1199,,96,150,2.99,100,19332.744,17136.908,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,757",No Feature,100,100,16.50,8.50,1349,1200,,97,149,2.99,100,19310.136,17167.052,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,758",No Feature,100,100,16.50,8.50,1350,1197,,94,153,2.99,100,19287.528,17197.196,AA,-19,,,,,0,0,,0,No,10,C_CW,30,0.13,2
"125,759",No Feature,100,100,16.50,8.50,1327,1178,,97,149,2.99,100,19264.92,17227.34,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,760",No Feature,100,100,16.50,8.50,1319,1170,,97,149,4.49,100,19242.312,17257.484,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,761",No Feature,100,100,16.50,8.50,1320,1158,,90,162,4.49,100,19219.704,17287.628,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,762",No Feature,100,100,16.50,8.50,1300,1170,,111,130,4.49,100,19197.096,17317.772,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,763",No Feature,100,100,16.50,8.50,1318,1168,,96,150,4.49,100,19174.488,17347.916,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,764",No Feature,100,100,16.50,8.50,1298,1155,,101,143,4.49,100,19151.88,17378.06,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,765",No Feature,100,100,16.50,8.50,1302,1160,,101,142,2.89,100,19129.272,17408.204,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,766",No Feature,100,100,16.50,8.50,1300,1159,,102,141,2.89,100,19106.664,17438.348,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,767",No Feature,100,100,16.50,8.50,1304,1158,,98,146,2.89,100,19084.056,17468.492,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,768",No Feature,100,100,16.50,8.50,1306,1162,,100,144,2.89,100,19061.448,17498.636,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,769",No Feature,100,100,16.50,8.50,1309,1165,,99,144,2.89,100,19038.84,17528.78,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,770",No Feature,100,100,16.50,8.50,1308,1170,,104,138,0.05,100,19016.232,17558.924,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,771",No Feature,100,100,16.50,8.50,1286,1158,,111,128,0.05,100,18993.624,17589.068,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,772",No Feature,100,100,16.50,8.50,1321,1181,,101,140,0.05,100,18971.016,17619.212,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,773",No Feature,100,100,16.50,8.50,1325,1195,,109,130,0.05,100,18948.408,17649.356,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,774",D,100,100,16.50,8.50,1324,1197,,112,127,0.05,100,18925.8,17679.5,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,775",TP125+775,100,100,16.50,8.50,1319,1211,,130,108,0.05,100,18903.192,17709.644,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,776",No Feature,100,100,16.50,8.50,1331,1219,,125,112,0.05,100,18880.584,17739.788,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,777",No Feature,100,100,16.50,8.50,1328,1219,,127,109,0.05,100,18857.976,17769.932,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,778",No Feature,100,100,16.50,8.50,1325,1215,,125,110,0.05,100,18835.368,17800.076,AA,-10,,,,,0,0,,0,No,10,C_CW,30,0.13,2
"125,779",No Feature,100,100,16.50,8.50,1319,1211,,127,108,0.05,100,18812.76,17830.22,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,780",No Feature,100,100,16.50,8.50,1322,1192,,105,130,0.05,100,18790.152,17860.364,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,781",No Feature,100,100,16.50,8.50,1339,1192,,93,147,0.05,100,18767.544,17890.508,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,782",No Feature,100,100,16.50,8.50,1344,1198,,94,146,0.05,100,18744.936,17920.652,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,783",No Feature,100,100,16.50,8.50,1360,1206,,90,154,0.05,100,18722.328,17950.796,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,784",No Feature,100,100,16.50,8.50,1344,1193,,91,151,0.05,100,18699.72,17980.94,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,785",No Feature,100,100,16.50,8.50,1346,1193,,90,153,0.05,100,18677.112,18011.084,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,786",No Feature,100,100,16.50,8.50,1358,1200,,88,158,0.05,100,18654.504,18041.228,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,787",No Feature,100,100,16.50,8.50,1331,1187,,96,144,0.05,100,18631.896,18071.372,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,788",No Feature,100,100,16.50,8.50,1351,1204,,94,147,0.05,100,18609.288,18101.516,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,789",No Feature,100,100,16.50,8.50,1352,1206,,94,146,0.05,100,18586.68,18131.66,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
